,index,Unnamed: 0,ID,Name,RA,DEC,Obj. Type,Redshift,Host Name,Host Redshift,Reporting Group/s,Discovery Data Source/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag/Flux,Discovery Filter,Discovery Date (UT),Sender,Remarks,Ext. catalog/s,Sector
0,0,32,29028,SN 2018fhw,04:18:06.200,-63:36:56.41,SN Ia,0.017,2MASX J04180598-6336523,,"ASAS-SN, GaiaAlerts, OGLE","ASAS-SN, GaiaAlerts, OGLE",None,ASAS-SN; GaiaAlerts; OGLE,ASASSN-18tb,"ASASSN-2 - Cassius, Gaia - Gaia-photometric, OGLE-1.3m - OGLEIV-Cam",SALT - RSS,1,1,,16.8,V-Johnson,2018-08-21 07:26:24.000,Vallely,,,1
2,2,46,28954,SN 2018ffb,22:58:11.454,-20:17:03.73,SN Ia,0.07,GALEXASC J225811.55-201702.1 ,,"ASAS-SN, ATLAS","ASAS-SN, ATLAS",ePESSTO,ASAS-SN; ATLAS,ASASSN-18sv,"ASASSN-5 - Payne-Gaposchkin, ATLAS1 - ACAM1",ESO-NTT - EFOSC2-NTT,1,1,,17.9,g-Sloan,2018-08-17 22:33:36.000,Stanek,,,1
6,6,67,28875,SN 2018fca,01:38:41.470,-50:24:05.44,SN Ia,0.05,,,GaiaAlerts,GaiaAlerts,ePESSTO,GaiaAlerts,Gaia18cec,Gaia - Gaia-photometric,ESO-NTT - EFOSC2-NTT,1,1,,17.45,G-Gaia,2018-08-12 19:37:55.000,Gaia_Bot1,,,1
7,7,80,28766,SN 2018exv,23:33:57.438,-26:26:49.28,SN Ia,0.07,,,ATLAS,ATLAS,ePESSTO,ATLAS,ATLAS18tem,ATLAS1 - ACAM1,ESO-NTT - EFOSC2-NTT,1,1,,17.947,cyan-ATLAS,2018-08-07 11:55:40.000,ATLAS_Bot1,,,1
8,8,82,28747,SN 2018exc,21:00:08.018,-40:21:30.94,SN Ia,0.057,,,ATLAS,ATLAS,ePESSTO,ATLAS,ATLAS18tne,ATLAS1 - ACAM1,ESO-NTT - EFOSC2-NTT,1,1,,17.869,cyan-ATLAS,2018-08-11 10:13:26.000,ATLAS_Bot1,,,1
10,10,89,28707,SN 2018evo,21:48:38.417,-43:22:48.07,SN Ia,0.077,2MASS J21483845-4322470,0.07389,ASAS-SN,ASAS-SN,SCAT,ASAS-SN,ASASSN-18rn,"ASASSN-3 - Paczynski, ASASSN-5 - Payne-Gaposchkin",LCO-duPont - WFCCD,1,1,,17.8,g-Sloan,2018-08-09 20:09:36.000,Stanek,,,1
14,14,132,28513,SN 2018eod,20:53:19.670,-33:25:24.86,SN Ia,0.054000000000000006,,,ATLAS,ATLAS,ePESSTO,ATLAS,ATLAS18swr,ATLAS1 - ACAM1,ESO-NTT - EFOSC2-NTT,1,1,,17.706,cyan-ATLAS,2018-08-03 12:20:09.000,ATLAS_Bot1,,,1
24,24,100,37039,SN 2019emh,17:52:57.684,-70:00:07.38,SN Ia,0.058,2MASX J17525816-7000014,0.05795,ASAS-SN,ASAS-SN,ePESSTO+,ASAS-SN,ASASSN-19ls,ASASSN-3 - Paczynski,ESO-NTT - EFOSC2-NTT,1,1,,17.6,g-Sloan,2019-05-03 03:58:03.000,Stanek,,,11
25,25,107,36989,SN 2019ekn,13:54:19.270,-38:51:31.68,SN Ia,0.036000000000000004,,,"ATLAS, GaiaAlerts","ATLAS, GaiaAlerts",ePESSTO+,ATLAS; GaiaAlerts,ATLAS19imc,"ATLAS1 - ACAM1, Gaia - Gaia-photometric",ESO-NTT - EFOSC2-NTT,1,1,,17.235,cyan-ATLAS,2019-05-02 10:48:00.000,ATLAS_Bot1,,,11
26,26,126,36911,SN 2019ehn,17:14:36.029,-71:36:45.61,SN Ia,0.03,2MASX J17143533-7136446,0.03,ASAS-SN,ASAS-SN,ASAS-SN,ASAS-SN,ASASSN-19lf,"ASASSN-2 - Cassius, ASASSN-3 - Paczynski",LCO-duPont - WFCCD,1,1,,17.3,g-Sloan,2019-04-30 09:21:36.000,Stanek,,,11
32,32,118,38522,SN 2019gqv,07:50:19.060,-72:52:35.26,SN Ia,0.017,ESO 035- G 017,0.017549000000000002,"ASAS-SN, GaiaAlerts","ASAS-SN, GaiaAlerts",None,ASAS-SN; GaiaAlerts,ASASSN-19ny,"ASASSN-3 - Paczynski, ASASSN-5 - Payne-Gaposchkin, Gaia - Gaia-photometric",SOAR - Goodman,1,1,,16.7,g-Sloan,2019-06-01 17:45:36.000,Stanek,,,12
