# time [BJD], relative flux, relative flux error
2.458354139900962822e+06,8.801407163916633580e-01,6.425344579224098740e-03
2.458354160734356381e+06,8.848004453054983953e-01,6.426843729320172623e-03
2.458354181567748543e+06,8.705287665450359702e-01,6.419707661801679621e-03
2.458354202401140239e+06,8.689787764465457531e-01,6.416981703485841182e-03
2.458354223234530538e+06,8.697109496315192922e-01,6.422829246211210832e-03
2.458354244067920372e+06,8.703356061464015969e-01,6.419601999405156328e-03
2.458354264901309740e+06,8.796270921349560457e-01,6.420395911877286102e-03
2.458354285734697711e+06,8.814160764119747249e-01,6.417133725758269666e-03
2.458354306568085216e+06,8.774289317975599856e-01,6.413915907973845483e-03
2.458354327401471790e+06,8.783193296401691219e-01,6.412757604571029356e-03
2.458354348234857898e+06,8.700266055660197395e-01,6.410702300951767740e-03
2.458354369068243075e+06,8.856225809417543893e-01,6.412998602067826633e-03
2.458354389901627321e+06,8.798523033785021763e-01,6.409708256157199691e-03
2.458354410735011101e+06,8.754812896266117583e-01,6.409500427549767558e-03
2.458354431568394415e+06,8.842890208300905330e-01,6.410302852072162494e-03
2.458354452401776332e+06,8.706908676030287175e-01,6.411260341214608874e-03
2.458354473235157784e+06,8.688222284819490104e-01,6.407797839410836645e-03
2.458354494068538770e+06,8.615551492999041772e-01,6.396178639323030907e-03
2.458354514901919290e+06,8.836901272082455794e-01,6.410216982395768731e-03
2.458354535735298414e+06,8.920794282786552731e-01,6.409123205386419754e-03
2.458354556568677537e+06,8.692007510606587495e-01,6.408730240456392280e-03
2.458354577402055729e+06,8.788034975824903228e-01,6.403865888200382939e-03
2.458354598235432990e+06,8.741632578046834023e-01,6.407871003898096135e-03
2.458354619068810251e+06,8.813860884041176957e-01,6.407193598011183371e-03
2.458354639902186114e+06,8.838083034137400595e-01,6.407326222683362715e-03
2.458354660735561978e+06,8.710588246447963368e-01,6.394033165964253113e-03
2.458354681568936910e+06,8.861666691455454270e-01,6.403911156064865870e-03
2.458354702402311377e+06,8.832470412993780329e-01,6.404472293711532989e-03
2.458354723235684913e+06,8.799739783287351402e-01,6.401726323488948246e-03
2.458354744069058448e+06,8.817364720539747625e-01,6.400155983153383611e-03
2.458354764902431052e+06,8.731137036023701725e-01,6.404820817197385587e-03
2.458354785735803191e+06,8.691679463479731194e-01,6.401559430569325228e-03
2.458354806569174398e+06,8.651716227204233611e-01,6.395443779009071447e-03
2.458354827402545139e+06,8.807610623270166750e-01,6.401603544324804482e-03
2.458354848235915415e+06,8.832282973081906352e-01,6.400822356098651023e-03
2.458354869069285225e+06,8.778636707171701969e-01,6.403424876655615730e-03
2.458354889902654104e+06,8.773544344152375274e-01,6.404686911742720097e-03
2.458354910736022983e+06,8.794139812261505540e-01,6.402248174705130711e-03
2.458354931569390930e+06,8.621116682692568922e-01,6.398483976612126187e-03
2.458354952402758412e+06,8.853305477388824229e-01,6.407342434072071588e-03
2.458354973236124963e+06,8.708721087847671738e-01,6.398025649214174500e-03
2.458354994069491513e+06,8.792225081191128444e-01,6.405795728523525946e-03
2.458355014902857132e+06,8.884523376416326723e-01,6.405089999155561334e-03
2.458355035736222286e+06,8.711753929050328749e-01,6.402454624157545224e-03
2.458355056569586974e+06,8.688454110612136017e-01,6.393147034208428690e-03
2.458355077402951196e+06,8.750713227955471130e-01,6.406655421271265950e-03
2.458355098236314952e+06,8.742784990639904663e-01,6.402007291248435449e-03
2.458355119069678243e+06,8.647607451052652383e-01,6.397724231941818648e-03
2.458355139903040603e+06,8.785001031607267974e-01,6.409332899886359229e-03
2.458355160736402962e+06,8.847427152222029356e-01,6.399755412018343949e-03
2.458355181569764391e+06,8.780400311996108265e-01,6.402676179943053020e-03
2.458355202403125353e+06,8.566358744967708105e-01,6.393967666879612696e-03
2.458355223236485850e+06,8.761646964906290025e-01,6.399775343862965787e-03
2.458355244069845881e+06,8.758863631808209149e-01,6.401141233496839868e-03
2.458355264903204981e+06,8.726661511192943532e-01,6.398157238838094937e-03
2.458355285736564081e+06,8.799397948872204056e-01,6.405348741177066714e-03
2.458355306569922715e+06,8.846164397042254324e-01,6.406766046820121935e-03
2.458355327403280418e+06,8.580761011420918738e-01,6.393824668750214268e-03
2.458355348236638121e+06,8.754329445502434526e-01,6.399921433650706745e-03
2.458355369069994893e+06,8.597170188746147135e-01,6.397312241914849748e-03
2.458355389903351199e+06,8.834671958999424923e-01,6.402662913270872926e-03
2.458355410736707039e+06,8.695860718845604964e-01,6.399884694746396478e-03
2.458355431570062879e+06,8.822113071812093255e-01,6.402031812645123804e-03
2.458355452403417788e+06,8.725431617777114068e-01,6.394041672647139858e-03
2.458355473236772232e+06,8.949573520331727261e-01,6.413638452529068189e-03
2.458355494070126209e+06,8.880361153370128768e-01,6.403055714299487992e-03
2.458355514903479721e+06,8.763391461071454724e-01,6.404190120185982403e-03
2.458355535736832768e+06,8.727315652709882743e-01,6.400344433227830865e-03
2.458355556570185348e+06,8.757593377380124000e-01,6.401119327298032680e-03
2.458355577403536998e+06,8.947478574837686160e-01,6.413984681489124859e-03
2.458355598236888647e+06,8.834192207293050103e-01,6.405736053306756127e-03
2.458355619070239831e+06,8.804564353987973657e-01,6.407104134093993993e-03
2.458355639903590549e+06,8.832274667108487298e-01,6.405649075380420027e-03
2.458355660736940335e+06,8.834370698139132339e-01,6.409758168978001505e-03
2.458355681570290122e+06,8.740924409701729125e-01,6.404246473427494847e-03
2.458355702403638978e+06,8.842370407545064870e-01,6.405618157748917303e-03
2.458355723236987833e+06,8.649104493088655143e-01,6.401085059518314690e-03
2.458355744070335757e+06,8.778765285832641485e-01,6.409191610876962576e-03
2.458355764903683681e+06,8.760139150763852633e-01,6.407237052012748797e-03
2.458355785737030674e+06,8.794297666406690750e-01,6.403627810539467419e-03
2.458355806570377667e+06,8.751717320597407479e-01,6.407673990297798640e-03
2.458355827403724194e+06,8.814584081099573476e-01,6.407089299927043631e-03
2.458355848237069789e+06,8.778882641557436139e-01,6.399750664985827744e-03
2.458355869070414919e+06,8.743431259453251503e-01,6.404061117858009765e-03
2.458355889903760049e+06,8.837460119480331500e-01,6.411901312381583506e-03
2.458355910737104248e+06,8.794799440858923623e-01,6.411896409944852632e-03
2.458355931570448447e+06,8.762778461480658088e-01,6.408333075552380756e-03
2.458355952403791714e+06,8.683954208676645248e-01,6.403536150737920013e-03
2.458355973237134516e+06,8.777999670701464030e-01,6.411721286018885226e-03
2.458355994070477318e+06,8.665549426552532353e-01,6.409032161746625045e-03
2.458356014903819188e+06,8.808821226256429160e-01,6.415173545844403240e-03
2.458356035737160593e+06,8.840085406888811281e-01,6.412398032756370242e-03
2.458356056570501998e+06,8.738244834909255632e-01,6.407402995431583925e-03
2.458356077403842472e+06,8.815553047151335475e-01,6.411432004573768342e-03
2.458356098237182945e+06,8.715945861501033232e-01,6.403374694750932870e-03
2.458356119070522487e+06,8.802510142570219021e-01,6.409847828535924531e-03
2.458356139903861564e+06,8.699850166735479950e-01,6.404340120276060498e-03
2.458356160737200640e+06,8.718578583217295730e-01,6.410655916507682593e-03
