# time [BJD], relative flux, relative flux error
2.458437993062221445e+06,9.868165496511187573e-01,1.241761463998379382e-02
2.458438013895606156e+06,1.005052808111864149e+00,1.193624505548547023e-02
2.458438034728992265e+06,9.992142168422893933e-01,1.150823286739451057e-02
2.458438055562378839e+06,9.970892697936074578e-01,1.109731073422281188e-02
2.458438076395765878e+06,1.009498618282336890e+00,1.068681715244615762e-02
2.458438097229153849e+06,9.962954512963847487e-01,1.031254697593191397e-02
2.458438118062542751e+06,1.027116616409972094e+00,9.982793904991193318e-03
2.458438138895931188e+06,1.025216721588495750e+00,9.656897532502945608e-03
2.458438159729321022e+06,1.015680267821769123e+00,9.330520025894370115e-03
2.458438180562710855e+06,1.015105579782950240e+00,9.014709172548908411e-03
2.458438201396100689e+06,1.024469781069750951e+00,8.717859834174593661e-03
2.458438222229490988e+06,1.027466762322816862e+00,8.426339756476790635e-03
2.458438243062881287e+06,1.010998029810345145e+00,8.145210583862480883e-03
2.458438263896271586e+06,1.008969356237186421e+00,7.947177662694846628e-03
2.458438284729662351e+06,1.032101554270296040e+00,7.754751253132765448e-03
2.458438305563052651e+06,1.029757783886890765e+00,7.594706791622551911e-03
2.458438326396442950e+06,1.027176808748835990e+00,7.454475351508845805e-03
2.458438347229833249e+06,1.039950297561505810e+00,7.333226488515655860e-03
2.458438368063223548e+06,1.050789341939861066e+00,7.220597153536882466e-03
2.458438388896613382e+06,1.042673639619068338e+00,7.090488162973029862e-03
2.458438409730003215e+06,1.047187892252796626e+00,7.005347242774667867e-03
2.458438430563392583e+06,1.043864357463943460e+00,6.960412143291663280e-03
2.458438451396781486e+06,1.050874860280926137e+00,6.953074365521208847e-03
2.458438472230170388e+06,1.044923854844536537e+00,6.949666240990250501e-03
2.458438493063558824e+06,1.055643298485058557e+00,6.955128941571403836e-03
2.458438513896946795e+06,1.051266910786789355e+00,6.951540630132504311e-03
2.458438534730334766e+06,1.043532211416497102e+00,6.955511685684397441e-03
2.458438555563721806e+06,1.039359639242951161e+00,6.936539200788454686e-03
2.458438576397108380e+06,1.038316921626746492e+00,6.940667013639541076e-03
2.458438597230494954e+06,1.046194867891187874e+00,6.941048952829821130e-03
2.458438618063880596e+06,1.047778028716801257e+00,6.942242855706151280e-03
2.458438638897265773e+06,1.041835602056483179e+00,6.945791008673876492e-03
2.458438659730650485e+06,1.041969526195417606e+00,6.949688269580930368e-03
2.458438680564034730e+06,1.053253252132337670e+00,6.951780409091817999e-03
2.458438701397418045e+06,1.051336293842223046e+00,6.960355538440222631e-03
2.458438722230801359e+06,1.066158108565984586e+00,6.962020350102340535e-03
2.458438743064183742e+06,1.035318559762675505e+00,6.940076686261862325e-03
2.458438763897565193e+06,1.057334578869598918e+00,6.952668898419498041e-03
2.458438784730946645e+06,1.051857219220587503e+00,6.953664355412107756e-03
2.458438805564327165e+06,1.056886857178835237e+00,6.950994668429298293e-03
2.458438826397707220e+06,1.043918796614182742e+00,6.943877027034518930e-03
2.458438847231086344e+06,1.044648371544913523e+00,6.945976298972467849e-03
2.458438868064465001e+06,1.042111578381358372e+00,6.949608261990277043e-03
2.458438888897843193e+06,1.033406646543057361e+00,6.945909858717979647e-03
2.458438909731220454e+06,1.034877585663600996e+00,6.946994549417526837e-03
2.458438930564597249e+06,1.034855168468711284e+00,6.941787562703977642e-03
2.458438951397973113e+06,1.026314846272143866e+00,6.934744579881573813e-03
2.458438972231348511e+06,1.058706348731687008e+00,6.955442316811836362e-03
2.458438993064722978e+06,1.046778323955571022e+00,6.949023363693900869e-03
2.458439013898096513e+06,1.046035323501103731e+00,6.946664504790873995e-03
2.458439034731470048e+06,1.048391309140338734e+00,6.948204990111105442e-03
2.458439055564842653e+06,1.050706220481478992e+00,6.948424185199772105e-03
2.458439076398214325e+06,1.034765083556951737e+00,6.942224497751280608e-03
2.458439097231585067e+06,1.039121398329834189e+00,6.938250863389642739e-03
2.458439118064955808e+06,1.049526049565694175e+00,6.949280392057812818e-03
2.458439138898325153e+06,1.039850280966089668e+00,6.944815441458970957e-03
2.458439159731694032e+06,1.047588172692583308e+00,6.949859425041762274e-03
2.458439180565062445e+06,1.043201613665313721e+00,6.944819242230619756e-03
2.458439201398429461e+06,1.031122662992171035e+00,6.941488203318041221e-03
2.458439222231796477e+06,1.054133967746813116e+00,6.945264222164734998e-03
2.458439243065162562e+06,1.043420069656416205e+00,6.939683173169359370e-03
2.458439263898527715e+06,1.029352468985610169e+00,6.935376602525349099e-03
2.458439284731892403e+06,1.062863503817564226e+00,6.953036530891399530e-03
2.458439305565256160e+06,1.048081299373850639e+00,6.948452017636661156e-03
2.458439326398618985e+06,1.047822148615374704e+00,6.947141661586151741e-03
2.458439347231981345e+06,1.039463548846207841e+00,6.943824642238449404e-03
2.458439368065343238e+06,1.034992544755712007e+00,6.939419594989747198e-03
2.458439388898703735e+06,1.058349666609442075e+00,6.950305328680649909e-03
2.458439409732064232e+06,1.038962551111056065e+00,6.942827624546310875e-03
2.458439430565423798e+06,1.034145028959767121e+00,6.943443097176953648e-03
2.458439451398781966e+06,1.058064303575596332e+00,6.951425160244916954e-03
2.458439472232140135e+06,1.022285084900849794e+00,6.930050911338872521e-03
2.458439493065497372e+06,1.046415935961160448e+00,6.942471518309700253e-03
2.458439513898853678e+06,1.040186395232084671e+00,6.941074125140984583e-03
2.458439534732209519e+06,1.038962399774021828e+00,6.940464496041593573e-03
2.458439555565564428e+06,1.038973162277713636e+00,6.937585777994283165e-03
2.458439576398918405e+06,1.030011664522754167e+00,6.930314089376104526e-03
2.458439597232271917e+06,1.036637591977433992e+00,6.938034782771413701e-03
2.458439618065624963e+06,1.047018369233890356e+00,6.943827610165517576e-03
2.458439638898976613e+06,1.047462728836495049e+00,6.939210337814558788e-03
2.458439659732328262e+06,1.050974519463229839e+00,6.949062259395343520e-03
2.458439680565678980e+06,1.048824249712131840e+00,6.946194235656660138e-03
2.458439701399028301e+06,1.045486754757454007e+00,6.941574992666008255e-03
2.458439722232377622e+06,1.053940110519022255e+00,6.942618335704295318e-03
2.458439743065726012e+06,1.035226117590690054e+00,6.928861658310130067e-03
2.458439763899073470e+06,1.030255312829448489e+00,6.937581439527137732e-03
2.458439784732420463e+06,1.037179536468047170e+00,6.932816181709329506e-03
2.458439805565766525e+06,1.051964087027860151e+00,6.943599911434244869e-03
2.458439826399112120e+06,1.062151814358289537e+00,6.945733364500274523e-03
2.458439847232456785e+06,1.041457594386009156e+00,6.938666275612752690e-03
2.458439868065800518e+06,1.044269389947028115e+00,6.937535332179316054e-03
2.458439888899143785e+06,1.032929463891489652e+00,6.928491263237025223e-03
2.458439909732486587e+06,1.042392075085035064e+00,6.943234697728161223e-03
2.458439930565828457e+06,1.048092416253294745e+00,6.934107559728761722e-03
2.458439951399169397e+06,1.038694532603901877e+00,6.933229814323292779e-03
2.458439972232509404e+06,1.043767202542707828e+00,6.939767165750609750e-03
2.458439993065849412e+06,1.047383069125955357e+00,6.938229505916102165e-03
2.458440013899188023e+06,1.039436133750478275e+00,6.929715353075354030e-03
2.458440034732526168e+06,1.044674803908115290e+00,6.936867495305273565e-03
2.458440055565863848e+06,1.036345461158399761e+00,6.936484024528075457e-03
2.458440076399200130e+06,1.032007264365782495e+00,6.930675780137811846e-03
2.458440097232536413e+06,1.024927135824799995e+00,6.927594348068326358e-03
2.458440118065871764e+06,1.041168458798388263e+00,6.937991390353071171e-03
2.458440138899206184e+06,1.043203584330512967e+00,6.934048837569535377e-03
2.458440159732540138e+06,1.027336444972027696e+00,6.922826307343150042e-03
2.458440180565873627e+06,1.026938438285774469e+00,6.928975054713339306e-03
2.458440201399205718e+06,1.038532743596203289e+00,6.938292783224451858e-03
2.458440222232537344e+06,1.039968222163758949e+00,6.928159724266978563e-03
2.458440243065868504e+06,1.046044612303310029e+00,6.936816444113997476e-03
2.458440263899198733e+06,1.064542336392613198e+00,6.939041801644618701e-03
2.458440284732528497e+06,1.049475752317079902e+00,6.944897275112518926e-03
2.458440305565857328e+06,1.031555065025394180e+00,6.925758891724852553e-03
2.458440326399185229e+06,1.028796427740062525e+00,6.932463924308175825e-03
2.458440347232513130e+06,1.043955622796836957e+00,6.935580267329921438e-03
2.458440368065839633e+06,1.037129258589659209e+00,6.931539452278883198e-03
2.458440388899165671e+06,1.036556709770812157e+00,6.919817804765078344e-03
2.458440409732491244e+06,1.046707255617994159e+00,6.938575670230733537e-03
2.458440430565815885e+06,1.043786931480535474e+00,6.933160713098144613e-03
2.458440451399139594e+06,1.040567167550835226e+00,6.930367835333919001e-03
2.458440472232463304e+06,1.029735387186634599e+00,6.925681181488925822e-03
2.458440493065785617e+06,1.051558288644147465e+00,6.940399465489285012e-03
2.458440513899107464e+06,1.037221501259701695e+00,6.926818392861754797e-03
2.458440534732428845e+06,1.033810484698952870e+00,6.927512823345161400e-03
2.458440555565749295e+06,1.036486117847019717e+00,6.924106195201053422e-03
2.458440576399068814e+06,1.054399861261034355e+00,6.933292939962612707e-03
2.458440597232388332e+06,1.032659065707710822e+00,6.927052289653114377e-03
2.458440618065706454e+06,1.028132377689040089e+00,6.925671467499205577e-03
2.458440638899024110e+06,1.044437833479941125e+00,6.927204255093657309e-03
2.458440659732341301e+06,1.047001495743623778e+00,6.935669090956840359e-03
2.458440680565657560e+06,1.033449143268641679e+00,6.925388168752861714e-03
2.458440701398973353e+06,1.026990310769287262e+00,6.918922114610714241e-03
2.458440722232288215e+06,1.031514732382683874e+00,6.921716910340470173e-03
2.458440743065602612e+06,1.031807885085067156e+00,6.919701869924409741e-03
2.458440763898916077e+06,1.032240281247442049e+00,6.923697557877346240e-03
2.458440784732229076e+06,1.065075650259986739e+00,6.936712138872060812e-03
2.458440805565541144e+06,1.042116665531455100e+00,6.929832556487103279e-03
2.458440826398852747e+06,1.037584614882003597e+00,6.927500961401831907e-03
2.458440847232163884e+06,1.030840250616538833e+00,6.921724873480447453e-03
2.458440868065474089e+06,1.021958434331620147e+00,6.918297597269609106e-03
2.458440888898783363e+06,1.027984995333428131e+00,6.921922082525572804e-03
2.458440909732092172e+06,1.026274558683193616e+00,6.920070882616119468e-03
2.458440930565400515e+06,1.026405298156274570e+00,6.920476671804097653e-03
2.458440951398707926e+06,1.040158112804510093e+00,6.930312586147077160e-03
2.458440972232014872e+06,1.046089107784672567e+00,6.937083559514274460e-03
2.458440993065320887e+06,1.040700274779774004e+00,6.933889524122002247e-03
2.458441013898625970e+06,1.046438181393716915e+00,6.932381362429216459e-03
2.458441055565235205e+06,1.033817572663729090e+00,6.925899725107808984e-03
2.458441076398538426e+06,1.038705987566290512e+00,6.929086578670167439e-03
2.458441138898444828e+06,1.030390343496349947e+00,6.922094561509734706e-03
2.458441180565045681e+06,1.033148166150494651e+00,6.925678365746875710e-03
2.458441201398345176e+06,1.045800383139504630e+00,6.931066332965744869e-03
2.458441222231643740e+06,1.052630137174668912e+00,6.935375676877329927e-03
2.458441243064942304e+06,1.047378731788695116e+00,6.930302343053513711e-03
2.458441284731536172e+06,1.025273616599403859e+00,6.922381472275954475e-03
2.458441305564832408e+06,1.048145504185405974e+00,6.928356948839505328e-03
2.458441326398127712e+06,1.018544657896782946e+00,6.920011853887172992e-03
2.458441347231422551e+06,1.036858234766820042e+00,6.923164464601496045e-03
2.458441368064716924e+06,1.023143324535100263e+00,6.918710469099074480e-03
2.458441388898010366e+06,1.030950695580816090e+00,6.924015114919485764e-03
2.458441409731303342e+06,1.035014016783741608e+00,6.928108321347374587e-03
2.458441430564595386e+06,1.039928347262803587e+00,6.930893552426859068e-03
2.458441451397886500e+06,1.025311239203603009e+00,6.924058798151468824e-03
2.458441472231177613e+06,1.038134297539206941e+00,6.933256653450701155e-03
2.458441493064467795e+06,1.036121667323324669e+00,6.920585497239954871e-03
2.458441513897757512e+06,1.015474091887866637e+00,6.916507164543623208e-03
2.458441534731046297e+06,1.025220220328374898e+00,6.911834983799310626e-03
2.458441555564334616e+06,1.044585474163393535e+00,6.921421579341989830e-03
2.458441576397622004e+06,1.028026674180199329e+00,6.928953925026012234e-03
