# time [BJD], relative flux, relative flux error
2.458410930319725536e+06,8.688887204671590370e-01,1.334502657050698135e-02
2.458410951153553091e+06,8.826454242583064991e-01,1.336437978530139424e-02
2.458411013655036222e+06,8.921705478262269562e-01,1.335594768140012725e-02
2.458411034488863777e+06,8.717669023657063088e-01,1.334244577197831599e-02
2.458411055322690867e+06,8.880822212584251751e-01,1.333950719795414484e-02
2.458411076156517491e+06,8.694536197140040334e-01,1.333926986187431232e-02
2.458411096990344115e+06,8.672768070723617662e-01,1.334744072916678112e-02
2.458411117824170273e+06,8.858864526775299675e-01,1.335090033590164219e-02
2.458411138657996431e+06,8.425940025309244241e-01,1.332557675306984477e-02
2.458411159491821658e+06,8.916514544485009131e-01,1.335118129278196897e-02
2.458411180325646885e+06,8.864278170728272510e-01,1.334223478716785143e-02
2.458411201159471646e+06,8.531209033810993603e-01,1.333164844588201683e-02
2.458411221993295942e+06,8.577473866938709612e-01,1.333187096430870668e-02
2.458411242827119771e+06,8.698523295444616776e-01,1.332729777959450711e-02
2.458411263660943601e+06,8.757354791838577457e-01,1.332979932224992621e-02
2.458411284494766500e+06,8.620199254067276717e-01,1.333846565757945343e-02
2.458411305328588933e+06,8.585139413033113787e-01,1.333020398686739216e-02
2.458411326162410900e+06,8.629914038201159654e-01,1.332929137058215703e-02
2.458411346996232402e+06,8.772828102984638887e-01,1.333028412421095529e-02
2.458411367830053438e+06,8.709293652511563844e-01,1.332088842923340698e-02
2.458411388663874008e+06,8.907840314042465568e-01,1.332670660864899471e-02
2.458411409497694112e+06,8.999111590770221270e-01,1.335557654631793281e-02
2.458411430331513286e+06,8.590680323912617267e-01,1.332752802312339550e-02
2.458411451165331993e+06,8.744712720551672813e-01,1.334537733274129313e-02
2.458411471999150235e+06,8.628640974669916641e-01,1.331684559927730389e-02
2.458411492832968011e+06,8.784383420004432397e-01,1.332040302835836749e-02
2.458411513666785322e+06,8.573559212250981831e-01,1.332519708875068778e-02
2.458411534500601701e+06,8.550266195366696964e-01,1.332499679758613643e-02
2.458411555334417615e+06,8.609286269694762517e-01,1.332250271118330665e-02
2.458411576168232597e+06,8.608089766103319551e-01,1.331825057038595918e-02
2.458411597002047580e+06,8.891870909460749539e-01,1.333946301001672462e-02
2.458411617835861631e+06,8.817724930645868264e-01,1.333755363027144293e-02
2.458411638669675216e+06,8.827124129934846852e-01,1.333138748713858825e-02
2.458411659503487870e+06,8.576335449022517432e-01,1.332823992907493371e-02
2.458411680337300524e+06,8.755552682469650572e-01,1.332235874153633870e-02
2.458411701171111781e+06,8.554473836175462420e-01,1.331656825949024438e-02
2.458411722004922573e+06,8.942768056575430835e-01,1.333040484797435449e-02
2.458411742838732898e+06,8.673705336300691071e-01,1.333461192065294246e-02
2.458411763672542758e+06,8.732512698558019260e-01,1.331686013516860355e-02
2.458411784506351687e+06,8.710173120975279737e-01,1.332242131273110412e-02
2.458411805340160150e+06,8.896551675078117061e-01,1.332480610520281848e-02
2.458411826173967682e+06,8.850494176022375425e-01,1.331008996692112194e-02
2.458411847007774748e+06,8.762281841838969187e-01,1.332825994096598597e-02
2.458411867841580883e+06,8.707368519147600239e-01,1.331022806321616875e-02
2.458411888675387017e+06,8.913360189638227515e-01,1.333684211055886394e-02
2.458411909509191755e+06,8.833053135475085194e-01,1.332608414464105974e-02
2.458411930342996493e+06,8.756986828862700634e-01,1.332260067978220663e-02
2.458411951176799834e+06,8.702602541416775139e-01,1.331225799884929763e-02
2.458411972010602709e+06,8.842925495749551779e-01,1.332297320055485755e-02
2.458411992844405118e+06,8.744441522510056908e-01,1.332042127103775890e-02
2.458412013678207062e+06,8.856384920648131542e-01,1.332175120229264591e-02
2.458412034512008075e+06,8.530588236864727891e-01,1.330452320848804146e-02
2.458412055345808621e+06,8.532922368643974798e-01,1.329663978915930633e-02
2.458412076179607771e+06,8.897338188589870578e-01,1.332403746586624353e-02
2.458412097013406921e+06,8.914486378882046091e-01,1.333583932528641970e-02
2.458412117847205140e+06,8.667917728017273671e-01,1.331424080151005773e-02
2.458412138681002893e+06,8.535622163573819421e-01,1.331197333208134458e-02
2.458412159514799714e+06,8.643624456097268594e-01,1.330998594925424279e-02
2.458412180348596070e+06,9.015401199198055382e-01,1.331658319248549618e-02
2.458412201182391495e+06,8.859164203115903469e-01,1.332740678974646091e-02
2.458412222016186453e+06,8.817690265428599350e-01,1.330939632651166257e-02
2.458412242849980947e+06,8.822770288198540367e-01,1.331346955194200564e-02
2.458412305351359304e+06,8.954446064334312672e-01,1.332713710054164724e-02
2.458412326185150538e+06,8.892885588599631630e-01,1.333159242933559634e-02
2.458412347018941306e+06,8.517756615921787677e-01,1.329832856310616922e-02
2.458412367852731608e+06,8.629435634036756175e-01,1.330452916292002713e-02
2.458412388686520979e+06,9.011808861039299900e-01,1.331658763037203014e-02
2.458412409520309884e+06,8.923611682614452922e-01,1.333434631344838396e-02
2.458412430354098324e+06,8.884083610572961476e-01,1.332196507331636672e-02
2.458412451187885366e+06,8.465231188784079208e-01,1.330478457840837854e-02
2.458412472021671943e+06,9.128521447181754400e-01,1.333578048554920174e-02
2.458412492855458055e+06,8.693606633867059230e-01,1.330838414319956108e-02
